关键词,关键词翻译,月搜索量,现排名,历史排名,月变化量,月变化率,PPC 价格,建议竞价范围,展示量,点击量,SPR,标题密度,点击集中度,转化集中度,型号
action cam,,30843,3296,"上月: 3,485 / 4月前: 3,938 / 12月前: 4,532","上月: +189 / 4月前: +642 / 12月前: +1,236",上月: +5.42% / 4月前: +16.30% / 12月前: +27.27%,€0.47,€0.35 - €0.59,907858,12444,6,17.0,TOP1: 11.34% / TOP2: 9.62% / TOP3: 5.56% / 合计: 26.52%,TOP1: 9.84% / TOP2: 1.57% / TOP3: 1.18% / 合计: 12.59%,H88
bodycam,,15577,11545,"上月: 20,526 / 4月前: 26,377 / 12月前: 21,152","上月: +8,981 / 4月前: +14,832 / 12月前: +9,607",上月: +43.75% / 4月前: +56.23% / 12月前: +45.42%,€0.33,€0.28 - €0.41,428939,6691,4,9.0,TOP1: 12.06% / TOP2: 9.68% / TOP3: 7.64% / 合计: 29.38%,TOP1: 11.11% / TOP2: 6.67% / TOP3: 3.70% / 合计: 21.48%,H88
vlog kamera,,12904,17473,"上月: 15,541 / 4月前: 24,867 / 12月前: 17,999","上月: -1,932 / 4月前: +7,394 / 12月前: +526",上月: -12.43% / 4月前: +29.73% / 12月前: +2.92%,€0.87,€0.53 - €1.27,307288,5354,1,6.0,TOP1: 15.10% / TOP2: 8.33% / TOP3: 7.45% / 合计: 30.88%,TOP1: 14.29% / TOP2: 4.76% / TOP3: 14.29% / 合计: 33.34%,H88
action cam 4k,,12491,20185,"上月: 20,034 / 4月前: 26,002 / 12月前: 21,573","上月: -151 / 4月前: +5,817 / 12月前: +1,388",上月: -0.75% / 4月前: +22.37% / 12月前: +6.43%,€0.68,€0.54 - €0.85,344236,4992,3,12.0,TOP1: 12.43% / TOP2: 11.06% / TOP3: 5.86% / 合计: 29.35%,TOP1: 8.33% / TOP2: 2.78% / TOP3: 2.78% / 合计: 13.89%,H88
actionkameras,,7474,35003,"上月: 32,787 / 4月前: 34,880 / 12月前: 52,334","上月: -2,216 / 4月前: -123 / 12月前: +17,331",上月: -6.76% / 4月前: -0.35% / 12月前: +33.12%,€2.17,€1.63 - €2.71,216864,2965,1,1.0,TOP1: 8.85% / TOP2: 6.81% / TOP3: 4.25% / 合计: 19.91%,TOP1: 12.50% / TOP2: 6.25% / TOP3: 0.00% / 合计: 18.75%,H88
mini camera,,6655,40052,"上月: 41,877 / 4月前: 46,798 / 12月前: 29,288","上月: +1,825 / 4月前: +6,746 / 12月前: -10,764",上月: +4.36% / 4月前: +14.42% / 12月前: -36.75%,€0.39,€0.35 - €0.47,172274,3250,2,1.0,TOP1: 9.06% / TOP2: 8.76% / TOP3: 6.57% / 合计: 24.39%,TOP1: 3.17% / TOP2: 28.57% / TOP3: 3.17% / 合计: 34.91%,H88
bodycam körperkamera mini,,6467,41947,"上月: 58,291 / 4月前: 75,188 / 12月前: 85,819","上月: +16,344 / 4月前: +33,241 / 12月前: +43,872",上月: +28.04% / 4月前: +44.21% / 12月前: +51.12%,€0.34,€0.27 - €0.46,160634,2767,2,3.0,TOP1: 12.06% / TOP2: 11.85% / TOP3: 11.23% / 合计: 35.14%,TOP1: 6.25% / TOP2: 4.17% / TOP3: 10.42% / 合计: 20.84%,H88
action cam 4k+,,5633,49584,"上月: 55,120 / 4月前: 64,002 / 12月前: 88,753","上月: +5,536 / 4月前: +14,418 / 12月前: +39,169",上月: +10.04% / 4月前: +22.53% / 12月前: +44.13%,€0.86,€0.68 - €1.07,158079,2643,1,0.0,TOP1: 10.39% / TOP2: 9.66% / TOP3: 5.43% / 合计: 25.48%,TOP1: 0.00% / TOP2: 12.12% / TOP3: 3.03% / 合计: 15.15%,H88
helmkamera,,5217,53788,"上月: 53,426 / 4月前: 59,501 / 12月前: 64,509","上月: -362 / 4月前: +5,713 / 12月前: +10,721",上月: -0.68% / 4月前: +9.60% / 12月前: +16.62%,€0.29,€0.22 - €0.36,123303,2289,2,11.0,TOP1: 25.29% / TOP2: 6.49% / TOP3: 4.02% / 合计: 35.80%,TOP1: 6.45% / TOP2: 3.23% / TOP3: 3.23% / 合计: 12.91%,H88
ski kamera,滑雪相机,4023,77163,"上月: 154,708
4月前: -
12月前: 556,484","上月: +77,545
4月前: -
12月前: +479,321","上月: +50.12%
4月前: -
12月前: +86.13%",€0.40,€0.30 - €0.50,44326,1905,1,1.0,"TOP1: 47.39%
TOP2: 7.23%
TOP3: 6.29%
合计: 60.91%","TOP1: 42.22%
TOP2: 4.44%
TOP3: 4.44%
合计: 51.10%",
pov kamera,POV 摄像机,3915,81404,"上月: 114,290
4月前: 90,790
12月前: -","上月: +32,886
4月前: +9,386
12月前: -","上月: +28.77%
4月前: +10.34%
12月前: -",€0.39,€0.29 - €0.49,56616,1600,1,2.0,"TOP1: 31.83%
TOP2: 15.49%
TOP3: 8.73%
合计: 56.05%","TOP1: 25.93%
TOP2: 11.11%
TOP3: 0.00%
合计: 37.04%",
helmkamera motorrad,,3769,85528,"上月: 142,114 / 4月前: 117,071 / 12月前: 155,429","上月: +56,586 / 4月前: +31,543 / 12月前: +69,901",上月: +39.82% / 4月前: +26.94% / 12月前: +44.97%,€0.34,€0.26 - €0.43,112641,1830,1,4.0,TOP1: 19.60% / TOP2: 5.74% / TOP3: 5.74% / 合计: 31.08%,TOP1: 0.00% / TOP2: 7.69% / TOP3: 7.69% / 合计: 15.38%,H88
mini action cam,,3703,85383,"上月: 82,450 / 4月前: 124,938 / 12月前: 205,101","上月: -2,933 / 4月前: +39,555 / 12月前: +119,718",上月: -3.56% / 4月前: +31.66% / 12月前: +58.37%,€0.36,€0.30 - €0.40,107940,1679,1,8.0,TOP1: 24.51% / TOP2: 4.94% / TOP3: 4.35% / 合计: 33.80%,TOP1: 31.25% / TOP2: 0.00% / TOP3: 0.00% / 合计: 31.25%,H88
skypro 4k kamera,skypro 4k 相机,3497,90941,"上月: 120,556
4月前: -
12月前: -","上月: +29,615
4月前: -
12月前: -","上月: +24.57%
4月前: -
12月前: -",€0.15,€0.14 - €0.19,49101,1513,1,0.0,"TOP1: 21.91%
TOP2: 21.60%
TOP3: 7.20%
合计: 50.71%","TOP1: 22.22%
TOP2: 13.89%
TOP3: 0.00%
合计: 36.11%",
action cam wasserdicht,,3449,95155,"上月: 129,453 / 4月前: 65,890 / 12月前: 226,331","上月: +34,298 / 4月前: -29,265 / 12月前: +131,176",上月: +26.49% / 4月前: -44.41% / 12月前: +57.96%,€0.46,€0.35 - €0.58,85528,1605,4,0.0,TOP1: 15.94% / TOP2: 8.95% / TOP3: 6.55% / 合计: 31.44%,TOP1: 10.53% / TOP2: 0.00% / TOP3: 0.00% / 合计: 10.53%,H88
