H88_US_ABA关键词表_修正版,点击量,PPC价格,点击前三ASIN,点击前三品牌,展示量,标题密度,月变化量,关键词翻译,国家,点击集中度,月搜索量,关键词,历史排名,现排名,转化集中度,型号,前10ASIN,建议竞价范围,月变化率,SPR
body camera|US|H88,44651,$1.24,B0F2N1VYJB、B0CZNLJS6C、B0DH3FV295,AviaryEye、Meoilkolnm、kaysunlink,1313399.0,35.0,"上月: -2,466
4月前: -540
12月前: +9,241",人体摄影机,US,"TOP1: 17.05%
TOP2: 7.12%
TOP3: 7.05%
合计: 31.22%",89421,body camera,"上月: 8,647
4月前: 10,573
12月前: 20,354",11113,"TOP1: 17.34%
TOP2: 6.31%
TOP3: 5.27%
合计: 28.92%",H88,"B0BL7ZVY78,B0F66YN221,B0DDSH1W1N,B0CNXQ37WC,B0DH3FV295,B0DHGG2D8S,B0DDSN7WC4,B0DKSXR114,B0DRVHVH55,B0FXNFH124",$0.80 - $1.56,"上月: -28.52%
4月前: -5.11%
12月前: +45.40%",27
body cam|US|H88,29923,$0.90,B0F2N1VYJB、B0DH3FV295、B0CZNLJS6C,AviaryEye、Meoilkolnm,837051.0,34.0,"上月: -721
4月前: -3,532
12月前: -1,022",人体摄像头,US,"TOP1: 13.02%
TOP2: 5.43%
TOP3: 4.58%
合计: 23.03%",60872,body cam,"上月: 20,036
4月前: 17,225
12月前: 19,735",20757,"TOP1: 16.78%
TOP2: 4.15%
TOP3: 6.64%
合计: 27.57%",H88,"B0CN6D22G1,B0F21G63LH,B09HC51L11,B0F2FSHKC8,B0F2N1VYJB,B0FLKDGC76,B0FY1ZFRJL,B0DHD3GYXV,B0FYWLJRPB,B0DTTZZ6Q3",$0.68 - $1.13,"上月: -3.60%
4月前: -20.51%
12月前: -5.18%",15
pov camera|US|H88,18533,$0.91,B0DDSH1W1N、B0DH3FV295、B0DT6JKZS5,Sixmou、Meoilkolnm、Vauvinmaic,588125.0,11.0,"上月: +9,774
4月前: +4,808
12月前: +82,449",摄像机,US,"TOP1: 18.32%
TOP2: 8.50%
TOP3: 6.15%
合计: 32.97%",42902,pov camera,"上月: 43,500
4月前: 38,534
12月前: 116,175",33726,"TOP1: 10.67%
TOP2: 4.60%
TOP3: 3.14%
合计: 18.41%",H88,"B0DDSH1W1N,B0G3PLYJD1,B0DDSN7WC4,B0G3YB555J,B0G3PPRJXF,B0G3Y69P8W,B0F66YN221,B0FZJLG7JL,B0G3XJ4Q7F,B0DH3FV295",$0.68 - $1.14,"上月: +22.47%
4月前: +12.48%
12月前: +70.97%",11
body cameras with audio and video recording|US|H88,10901,,B0F2N1VYJB、B0DH3FV295、B0DP9VPHP2,AviaryEye、Meoilkolnm、BOBLOV,363761.0,4.0,"上月: -16,544
4月前: -24,695
12月前: -8,748",带音频和视频录制功能的随身相机,US,"TOP1: 19.36%
TOP2: 5.41%
TOP3: 5.12%
合计: 29.89%",28680,body cameras with audio and video recording,"上月: 39,585
4月前: 31,434
12月前: 47,381",56129,"TOP1: 15.45%
TOP2: 4.72%
TOP3: 3.43%
合计: 23.60%",H88,"B0DHJC3F57,B0CRNZ2YB2,B077FXSS5D,B0F2N1VYJB,B0FLKDGC76,B0FY6NTRQQ,B0CZNLJS6C,B0FSWLHRBL,B0DP9VPHP2,B0FVY49FW5",-,"上月: -41.79%
4月前: -78.56%
12月前: -18.46%",14
sports camera|US|H88,7906,$0.77,B0DH3FV295、B0D7HQFKPB、B0FJ29T1W8,Meoilkolnm、XbotGo、zakotu,214958.0,7.0,"上月: +12,551
4月前: +29,041
12月前: +187,788",运动相机,US,"TOP1: 20.21%
TOP2: 8.03%
TOP3: 7.04%
合计: 35.28%",20650,sports camera,"上月: 92,376
4月前: 108,866
12月前: 267,613",79825,"TOP1: 17.61%
TOP2: 1.41%
TOP3: 7.04%
合计: 26.06%",H88,"B0D7HQFKPB,B0DH3FV295,B0FJ29T1W8,B0DG28PTJ6,B0DDSH1W1N,B0FP2HSB28,B0FZB6XPLC,B0866PZN76,B0FG1633SC,B0FPWVKWFW",$0.70 - $0.96,"上月: +13.59%
4月前: +26.68%
12月前: +70.17%",2
mini body camera|US|H88,5751,$0.82,B0F2N1VYJB、B0DH3FV295、B0DDSH1W1N,AviaryEye、Meoilkolnm、Sixmou,198153.0,25.0,"上月: +1,915
4月前: -49,517
12月前: +112,228",迷你随身相机,US,"TOP1: 15.37%
TOP2: 10.36%
TOP3: 6.98%
合计: 32.71%",14775,mini body camera,"上月: 121,625
4月前: 70,193
12月前: 231,938",119710,"TOP1: 15.79%
TOP2: 16.17%
TOP3: 2.26%
合计: 34.22%",H88,"B0F66YN221,B0F2N1VYJB,B0FJ29T1W8,B0DH3FV295,B0CZNLJS6C,B0FQWS941G,B0FRFRM9D3,B0FRXKQDGW,B0FW6DDFS2,B0FZB6XPLC",$0.62 - $1.02,"上月: +1.57%
4月前: -70.54%
12月前: +48.39%",5
wearable camera|US|H88,5053,$0.53,B0F2N1VYJB、B0DDSH1W1N、B0DH3FV295,AviaryEye、Sixmou、Meoilkolnm,150011.0,3.0,"上月: +26,485
4月前: +32,775
12月前: +242,755",可穿戴式摄像机,US,"TOP1: 14.51%
TOP2: 12.09%
TOP3: 7.84%
合计: 34.44%",12425,wearable camera,"上月: 167,627
4月前: 173,917
12月前: 383,897",141142,"TOP1: 9.76%
TOP2: 6.10%
TOP3: 5.49%
合计: 21.35%",H88,"B0F66YN221,B0DDSH1W1N,B0DDSN7WC4,B0DH3FV295,B0DBVG2W2P,B0DJT3YJQG,B0G1SCRPN8,B0FJ29T1W8,B0FRXKQDGW,B0FRFRM9D3",$0.42 - $0.65,"上月: +15.80%
4月前: +18.85%
12月前: +63.23%",3
camara para grabar contenido|US|H88,5118,$0.65,B0FL9DN3GY、B0DH3FV295、B0FDKYVCTC,DJI、XTRA EDGE、SJCAM,166349.0,,"上月: -6,271
4月前: +12,245
12月前: +478,479",录制内容的相机,US,"TOP1: 9.98%
TOP2: 7.72%
TOP3: 5.74%
合计: 23.44%",11757,camara para grabar contenido,"上月: 147,703
4月前: 166,219
12月前: 632,453",153974,"TOP1: 0.00%
TOP2: 10.34%
TOP3: 0.00%
合计: 10.34%",H88,"B0DH3FV295,B0CG19FGQ5,B0G19BV6FP,B0FYWLJRPB,B0FL9DN3GY,B0BHKKHNHM,B0BPLYF61H,B08GX8SDYG,B0F2N1VYJB,B0F8QTHWT4",$0.49 - $0.81,"上月: -4.25%
4月前: +7.37%
12月前: +75.65%",1
tap cam|US|H88,3889,,B0DH3FV295、B0F8B1N562、B0FZJLG7JL,Meoilkolnm、cetzork,119072.0,6.0,"上月: -
4月前: -
12月前: -",,US,"TOP1: 50.61%
TOP2: 6.71%
TOP3: 6.19%
合计: 63.51%",8469,tap cam,"上月: -
4月前: -
12月前: -",191132,"TOP1: 33.33%
TOP2: 1.85%
TOP3: 1.85%
合计: 37.03%",H88,"B0DH3FV295,B0DRVHVH55,B0FLQ5Z8KN,B0CRBDTJB9,B0G2RHFMVN,B0CRYVDCT7,B0F66YN221,B0FL1SPP5F,B0G2RDMSR6,B0G19BV6FP",-,"上月: -
4月前: -
12月前: -",2
chest camera|US|H88,2856,$0.56,B0DDSH1W1N、B0DH3FV295、B0F2N1VYJB,Sixmou、Meoilkolnm、AviaryEye,97074.0,,"上月: +35,554
4月前: -35,938
12月前: +408,628",胸前摄像头,US,"TOP1: 31.61%
TOP2: 9.86%
TOP3: 8.82%
合计: 50.29%",7311,chest camera,"上月: 252,324
4月前: 180,832
12月前: 625,398",216770,"TOP1: 21.54%
TOP2: 9.23%
TOP3: 7.69%
合计: 38.46%",H88,"B0DDSH1W1N,B0DH3FV295,B0F66YN221,B0DBVG2W2P,B0DDSN7WC4,B0DT6JKZS5,B0FJ29T1W8,B0FRFRM9D3,B0F8Q3BCMF,B0DJT3YJQG",$0.42 - $0.70,"上月: +14.09%
4月前: -19.87%
12月前: +65.34%",1
