ASIN_Role,ASIN,Data_Type,Field_Name,Content_Text
Competitor_Exact,B0G5PR1GS9,Listing_Content,Title,"JETO Mini Body Camera, 1080P HD Wearable Action Camera with Touch Screen, Wide Angle, Magnetic Clip-On POV Cam, App Remote Live Stream (64GB Cycling Accessory Kit)"
Competitor_Exact,B0G5PR1GS9,Listing_Content,Bullet_1,"Ultra-Portable Action Camera & Wearable Design:Weighs just 1.58oz – clip on, hang, or mount anywhere with the magnetic pendant and 360° back clip. Perfect for hands-free travel, vlogging, biking, security patrols. You can record anytime, anywhere without the bulk."
Competitor_Exact,B0G5PR1GS9,Listing_Content,Bullet_2,"True 1080P HD & 154° Wide Angle Video:Capture crisp 1080P footage and vibrant photos with a super-wide 154° FOV. Ideal for group selfies, action sports, pet POV, and security camera needs. You can fit more into every shot and never miss a moment."
Competitor_Exact,B0G5PR1GS9,Listing_Content,Bullet_3,"Long Battery Life for Extended Recording:Up to 2.5 hours of continuous use per charge (with included lithium battery), plus fast USB charging for all-day reliability. You can document long events, daily commutes, or security shifts worry-free."
Competitor_Exact,B0G5PR1GS9,Listing_Content,Bullet_4,"Portable & Wear-Anywhere Design:Ultra-compact and lightweight for easy carry and all-day use. Clip it to your shirt, bag, or gear, or wear it as a magnetic pendant—perfect for biking, travel, pet walks, and daily security. Grab it and record anywhere, anytime."
Competitor_Exact,B0G5PR1GS9,Listing_Content,Bullet_5,"Waterproof Case & Full Accessory Kit – Ready for Any Adventure:Dive up to 30M with the waterproof housing. Includes magnetic pendant, back clip, helmet/bike mounts, USB cable & card reader. You can start shooting right out of the box—no extra purchases required."
Competitor_Exact,B0G5PR1GS9,Rufus_Log,QA_Pair,"Q: Can it record in low light? 
 A: The JETO Mini Body Camera can record in low light conditions with its 1080P HD sensor, though performance will vary depending on available lighting. It features 2K recording capabilities to help capture more detail in challenging lighting."
Competitor_Exact,B0G5PR1GS9,Rufus_Log,QA_Pair,"Q: Does it come with a remote control? 
 A: Yes, it comes with app remote control functionality via the JETO app (iOS/Android). Connects via Wi-Fi to start/stop recording, take photos, live stream, and preview footage."
Competitor_Exact,B0G5PR1GS9,Rufus_Log,QA_Pair,"Q: What is the storage capacity? 
 A: The JETO Mini Body Camera comes with 128GB built-in memory — no memory card is required."
Competitor_Exact,B0G5PR1GS9,Rufus_Log,QA_Pair,"Q: Is the touch screen responsive? 
 A: It features a 1.33"" touch screen for easy navigation. Designed for intuitive operation to adjust settings, review footage, and control functions."
Competitor_Exact,B0G5PR1GS9,Rufus_Log,QA_Pair,"Q: Is it easy to mount on a bike? 
 A: Yes! Includes a complete cycling accessory kit: helmet/bike mount, 360° back clip, and magnetic pendant. Ultra-lightweight (1.58oz) for easy handling."
Competitor_Similar,B0F671X6N9,Listing_Content,Title,"Movcan S70 Body Camera with Audio and Video Recording, HD 1520P Body Cam with 180° Rotating Lens, Thumb Size Hands Free Recording Body Worn Camera, Portable Camcorder for Work (64GB, Black)"
Competitor_Similar,B0F671X6N9,Listing_Content,Bullet_1,"【Thumb Size 】Thumb-sized dimensions 2.48 x 1.06 x 0.82 inches. Magnet Pendant, Safety Cord, and Portable Back Clip included."
