T70M_DE_出单词表,关键词,AC推荐词,ABA月排名,ABA周排名,月搜索量,月购买量,购买率,展示量,点击量,SPR,标题密度,商品数,需供比,广告竞品数,点击总占比,转化总占比,货流值,PPC竞价,国家,型号
,action cam,Y,3296,3645,30843,237,0.76%,907858,12444,6,17,1328,23,65,23.09%,4.48%,1.3%,€0.47,DE,T70M
,bodycam,Y,11545,14190,15577,154,0.98%,428939,6691,4,9,242,64,48,30.41%,8.33%,2.9%,€0.33,DE,T70M
,vlog kamera,Y,17473,20337,12904,25,0.20%,307288,5354,1,6,1200,11,55,30.58%,27.27%,0.8%,€0.87,DE,T70M
,action cam 4k,Y,20185,24361,12491,104,0.82%,344236,4992,3,12,377,33,69,26.25%,8.33%,4.7%,€0.68,DE,T70M
,body cam,Y,21424,24764,11769,91,0.76%,278256,5254,3,11,240,49,101,32.17%,26.31%,2.3%,€0.75,DE,T70M
,actionkameras,Y,35003,57856,7474,34,0.46%,216864,2965,1,1,616,12,39,22.74%,25.00%,1.5%,€2.17,DE,T70M
,actioncam,Y,38330,41361,6928,48,0.70%,193108,3174,2,2,837,8,44,25.94%,25.00%,1.3%,€0.51,DE,T70M
,mini camera,Y,40052,42247,6655,48,0.73%,172274,3250,2,1,3307,2,102,21.70%,0.00%,7.7%,€0.39,DE,T70M
,bodycam körperkamera mini,,41947,71107,6467,80,1.25%,160634,2767,2,3,193,34,60,30.82%,18.18%,2.3%,€0.34,DE,T70M
,helmkamera,Y,53788,55795,5217,45,0.87%,123303,2289,2,11,230,23,31,29.13%,33.33%,3.7%,€0.29,DE,T70M
,skypro 4k kamera,,61272,68460,4601,28,0.62%,132071,1754,1,0,155,30,24,46.05%,20.00%,0.7%,€0.15,DE,T70M
,pov kamera,Y,74422,87831,4138,21,0.51%,108892,1725,1,4,366,11,53,42.98%,40.00%,5.0%,€0.39,DE,T70M
,mini cam,Y,76855,69288,3961,19,0.48%,102240,1714,1,3,880,5,59,39.34%,50.00%,17.0%,€0.46,DE,T70M
,action kamera,Y,78916,82917,3933,23,0.59%,95748,1565,1,5,3545,1,38,26.77%,0.00%,2.8%,€0.42,DE,T70M
,helmkamera motorrad,Y,85528,73446,3769,16,0.43%,112641,1830,1,4,229,16,44,33.10%,75.00%,1.2%,€0.34,DE,T70M
,motorrad kamera,Y,84103,62056,3764,6,0.17%,111915,1587,1,1,640,6,18,32.54%,33.33%,2.2%,€0.33,DE,T70M
,mini action cam,Y,85383,72454,3703,38,1.03%,107940,1679,1,8,419,9,57,29.17%,42.86%,3.5%,€0.36,DE,T70M
,aktion kamera 4k,Y,85655,92379,3678,33,0.87%,87517,1709,1,0,237,16,30,22.61%,40.00%,2.5%,€0.15,DE,T70M
,bodycam mit mikrofon,Y,121771,158476,2836,21,0.74%,71281,1409,1,0,171,17,51,37.15%,20.00%,1.9%,€0.43,DE,T70M
,dashcam fahrrad,Y,122514,96178,2776,63,2.27%,77134,1376,2,4,155,18,36,39.64%,0.00%,1.7%,€0.69,DE,T70M
,körperkamera,Y,126832,189079,2697,24,0.87%,78232,1237,1,24,208,13,41,43.34%,0.00%,1.3%,€0.48,DE,T70M
,action cam motorrad,Y,233937,168641,1469,13,0.93%,37053,584,1,2,395,4,15,28.80%,0.00%,3.6%,€0.82,DE,T70M
