关键词,标签,AC推荐词,ABA月排名,ABA周排名,月搜索量,月购买量,购买率,展示量,点击量,SPR,标题密度,商品数,需供比,广告竞品数,点击总占比,转化总占比,货流值,PPC竞价,建议竞价范围,均价,评分数,评分值,所属类目,国家,型号
mini kamera,,Y,1273,1439,62816,483,0.0076,1465919,29034,11,32,5915,10.62,120,0.3637,0.3244,0.04,€ 0.46,€0.35-€0.58,€ 29.98,34,3.7,"Baumarkt(83%)
Kamera & Foto(12%)
Auto & Motorrad(2%)
Spielzeug(2%)
Garten(2%)",DE,H88
action cam,,Y,3296,3005,30843,237,0.0076,907858,12444,6,17,1328,23.23,76,0.2298,0.0861,0.013,€ 2.06,€1.55-€2.58,€ 189.00,7429,4.5,Kamera & Foto(100%),DE,H88
bodycam,,Y,11545,10756,15577,154,0.0098,428939,6691,4,9,242,64.37,64,0.4373,0.1291,0.029,€ 0.38,€0.32-€0.48,€ 38.99,177,3.9,Kamera & Foto(100%),DE,H88
spycam,,Y,11577,12452,15565,99,0.0063,438763,6064,3,0,236,65.95,56,0.3482,0.25,0.0278,€ 0.36,€0.27-€0.45,€ 36.99,24,4,"Baumarkt(86%)
Kamera & Foto(8%)
Auto & Motorrad(2%)
Spielzeug(2%)
Sport & Freizeit(2%)",DE,H88
action cam 4k,,Y,20185,24004,12491,104,0.0082,344236,4992,3,12,377,33.13,82,0.238,0.1579,0.0468,€ 1.53,€0.78-€2.23,€ 89.99,13832,4.3,Kamera & Foto(100%),DE,H88
body cam,,Y,21424,25960,11769,91,0.0076,278256,5254,3,11,240,49.04,61,0.3106,0.2352,0.0226,€ 0.79,€0.53-€0.98,€ 38.99,177,3.9,Kamera & Foto(100%),DE,H88
vlog kamera,,,,,11627,23,0.002,138374,4453,,,974,11.94,,,,,,,,,,,DE,H88
actioncam,,Y,38330,36572,6928,48,0.007,193108,3174,2,2,837,8.28,23,0.2325,0.2727,0.0125,€ 0.47,€0.35-€0.59,€ 189.00,7429,4.5,Kamera & Foto(100%),DE,H88
actionkameras,,,,,6540,30,0.0046,68991,2576,,,800,8.18,,,,,,,,,,,DE,H88
bodycam körperkamera mini,,,41947,65009,6467,80,0.0125,160634,2767,2,3,193,33.51,60,0.3596,0.5384,0.0233,€ 0.39,€0.26-€0.47,€ 38.99,82,4,"Kamera & Foto(94%)
Baumarkt(6%)",DE,H88
mini camera,,,,,5801,42,0.0073,70016,2406,,,655,8.86,,,,,,,,,,,DE,H88
helmkamera,,Y,53788,50395,5217,45,0.0087,123303,2289,2,11,230,22.68,25,0.3555,0.1429,0.0373,€ 0.29,€0.24-€0.33,€ 50.99,1615,4,Kamera & Foto(100%),DE,H88
action camera,,Y,57750,45001,4902,31,0.0063,120857,2239,1,1,806,6.08,42,0.2088,0,0.0159,€ 1.89,€1.30-€2.08,€ 189.00,7429,4.5,Kamera & Foto(100%),DE,H88
skypro 4k kamera,,,61272,93164,4601,28,0.0062,132071,1754,1,0,155,29.68,38,0.5427,0.5715,0.007,€ 0.47,€0.35-€0.59,€ 93.99,177,3.7,Kamera & Foto(100%),DE,H88
pov kamera,,Y,74422,77106,4138,21,0.0051,108892,1725,1,4,366,11.31,45,0.4314,0.0909,0.0495,€ 0.53,€0.40-€0.66,€ 84.99,16,3.7,Kamera & Foto(100%),DE,H88
ski kamera,,,,,4023,23,0.0059,44326,1905,,,221,18.2,,,,,,,,,,,DE,H88
action kamera,,,,,3987,23,0.0059,51613,1818,,,1836,2.17,,,,,,,,,,,DE,H88
mini cam,,Y,76855,21117,3961,19,0.0048,102240,1714,1,3,880,4.5,64,0.6913,0.5652,0.1695,€ 0.43,€0.32-€0.54,€ 19.59,41,4,"Baumarkt(76%)
Kamera & Foto(22%)
Spielzeug(2%)",DE,H88
helmkamera motorrad,,Y,85528,79200,3769,16,0.0043,112641,1830,1,4,229,16.46,26,0.2483,0.3333,0.0121,€ 0.25,€0.20-€0.29,€ 69.99,58,4,Kamera & Foto(100%),DE,H88
mini action cam,,Y,85383,91337,3703,38,0.0103,107940,1679,1,8,419,8.84,75,0.3511,0.5,0.0348,€ 0.32,€0.24-€0.40,€ 119.99,58,4.3,"Kamera & Foto(95%)
Baumarkt(5%)",DE,H88
aktion kamera 4k,,,,,3500,30,0.0087,49771,1686,,,250,14,,,,,,,,,,,DE,H88
action cam wasserdicht,,Y,95155,94915,3449,147,0.0428,85528,1605,4,0,422,8.17,27,0.2461,0,0.0349,€ 0.44,€0.33-€0.55,€ 89.99,13832,4.3,Kamera & Foto(100%),DE,H88
helmkamera reiten,,,,,2899,78,0.027,40848,1210,,,196,14.79,,,,,,,,,,,DE,H88
körperkamera,,Y,126832,149817,2697,24,0.0087,78232,1237,1,24,208,12.97,16,0.4096,0.1667,0.0132,€ 0.50,€0.38-€0.63,€ 93.99,177,4,"Kamera & Foto(96%)
Baumarkt(4%)",DE,H88
pov camera,,,,,2105,22,0.0109,27682,1048,,,386,5.45,,,,,,,,,,,DE,H88
skypro,,,,,1954,19,0.0098,20460,920,,,199,9.82,,,,,,,,,,,DE,H88
body cam mini,,,,,1878,5,0.0031,25558,713,,,213,8.82,,,,,,,,,,,DE,H88
body camera,,,,,1686,19,0.0114,18332,706,,,264,6.39,,,,,,,,,,,DE,H88
ski camera,,,,,1539,11,0.0074,22103,736,,,242,6.36,,,,,,,,,,,DE,H88
sky pro kamera,,,,,1380,16,0.012,20538,611,,,99,13.94,,,,,,,,,,,DE,H88
bodycam mit mikrofon,,,,,1240,10,0.0087,17614,553,,,162,7.65,,,,,,,,,,,DE,H88
sportkamera,,,,,1171,7,0.0062,13109,554,,,353,3.32,,,,,,,,,,,DE,H88
mini action cam 4k,,,,,1094,10,0.0098,12621,514,,,280,3.91,,,,,,,,,,,DE,H88
bodycam 4k,,,,,992,9,0.0093,11666,478,,,211,4.7,,,,,,,,,,,DE,H88
body cam 4k,,,,,873,5,0.0065,9367,338,,,208,4.2,,,,,,,,,,,DE,H88
skypro kamera,,,,,854,7,0.0093,11675,422,,,92,9.28,,,,,,,,,,,DE,H88
kamerino pro snowvision,,,,,803,8,0.0103,9472,387,,,,,,,,,,,,,,,DE,H88
mini action camera,,,,,655,3,0.0054,9130,260,,,723,0.91,,,,,,,,,,,DE,H88
bodycam 4k wasserdicht,,,,,1,1,0.0074,11,0,,,217,,,,,,,,,,,,DE,H88
