记录ID,ASIN_Role,ASIN,Country,Data_Type,Field_Name,Content_Text
,Competitor_Exact,B0DDSH1W1N,UK,Listing_Content,Bullet,"MOUNT ANYWHERE: The i3 sports camera features a magnetic design, allowing you to attach it to an Iron metal surface. It also comes with a magnetic lanyard pad that lets you quickly mount it to your chest in just one second. With a 360° rotating spring clip, you can effortlessly secure the camera to your collar, pocket, waist, and more. Additionally, it includes seven other mounting accessories, making it easy to attach to bikes, motorcycles, helmets, and other gear."
,Competitor_Exact,B0DDSH1W1N,UK,Listing_Content,Bullet,"131 FEET DEEP WATERPROOF:This mini camera includes a waterproof case, you can take the camera underwater up to 131 feet (40 meters), making it ideal for diving, snorkeling, and surfing. Just remember, the camera itself is not waterproof without the housing."
,Competitor_Exact,B0DDSH1W1N,UK,Listing_Content,Bullet,"150 MINUTES BATTERY LIFE: This mini 4K action cam comes with a rechargeable 800mAh lithium-ion battery, providing extended usage. It can continuously record up to 150 minutes of video in 1080P mode, 120 minutes in 2K mode, and 90 minutes in 4K mode. Plus, the camera supports recording while charging, so you can meet your long-term recording needs without interruption."
,Competitor_Exact,B0DDSH1W1N,UK,Listing_Content,Bullet,"4K HANDS-FREE RECORDING: Take your footage on the go, free up your hands to record 4K POV videos and capture exciting moments with your family, kids, pets, and friends. Perfect for outdoor activities like cycling, motorcycling, and more."
,Competitor_Exact,B0DDSH1W1N,UK,Listing_Content,Title,https://www.amazon.co.uk/dp/B0DDSH1W1N/ref=mweb_up_am_fl_st_na_un_up_sm_web?th=1
,Competitor_Exact,B0DDSH1W1N,US,Listing_Content,Bullet,"1.25 OZ (35.7G) & THUMB SIZE: The Sixmou i3 4K tiny action camera is so compact it’s smaller than your thumb and weighs just 1.25 ounces (35.7 grams). You can mount it on your body without even noticing it’s there, blending seamlessly with you. It offers a whole new amazing experience."
,Competitor_Exact,B0DDSH1W1N,US,Listing_Content,Bullet,"MOUNT ANYWHERE: The i3 sports camera features a magnetic design, allowing you to attach it to an Iron metal surface. It also comes with a magnetic lanyard pad that lets you quickly mount it to your chest in just one second. With a 360° rotating spring clip, you can effortlessly secure the camera to your collar, pocket, waist, and more. Additionally, it includes seven other mounting accessories, making it easy to attach to bikes, motorcycles, helmets, and other gear."
,Competitor_Exact,B0DDSH1W1N,US,Listing_Content,Bullet,"131 FEET DEEP WATERPROOF:This mini camera includes a waterproof case, you can take the camera underwater up to 131 feet (40 meters), making it ideal for diving, snorkeling, and surfing. Just remember, the camera itself is not waterproof without the housing."
,Competitor_Exact,B0DDSH1W1N,US,Listing_Content,Bullet,"150 MINUTES BATTERY LIFE: This mini 4K action cam comes with a rechargeable 800mAh lithium-ion battery, providing extended usage. It can continuously record up to 150 minutes of video in 1080P mode, 120 minutes in 2K mode, and 90 minutes in 4K mode. Plus, the camera supports recording while charging, so you can meet your long-term recording needs without interruption."
,Competitor_Exact,B0DDSH1W1N,US,Listing_Content,Bullet,"4K HANDS-FREE RECORDING: Take your footage on the go, free up your hands to record 4K POV videos and capture exciting moments with your family, kids, pets, and friends. Perfect for outdoor activities like cycling, motorcycling, and more."
,Competitor_Exact,B0DDSH1W1N,US,Listing_Content,Title,https://www.amazon.com/dp/B0DDSH1W1N/ref=mweb_up_am_fl_st_na_un_up_sm_web?th=1
,Competitor_Exact,B0DJT3YJQG,US,Listing_Content,Bullet,"4K Action Camera for Underwater Adventures: Take your underwater exploration to the next level with 4K high-definition resolution. With a waterproof case, this Z10 camera is built to handle the depths, delivering sharp and vivid footage whether you’re diving, snorkeling, or exploring the sea"
,Competitor_Exact,B0DJT3YJQG,US,Listing_Content,Bullet,"Light as a Feather at Just 49g Underwater Camera: Weighing just 49 grams, this Z10 compact camera is perfect for everyday adventures. Whether you’re recording personal vlogs, or documenting playful moments with your pet, its lightweight design ensures comfortable and hassle-free use"
,Competitor_Exact,B0DJT3YJQG,US,Listing_Content,Bullet,"Waterproof action camera: Built for adventure, this personal camera lets you dive underwater with confidence. Perfect for capturing your footage and vibrant underwater scenes. Rugged and reliable, it’s versatile enough for both indoor and outdoor use. NOTE: The camera itself is not waterproof without the case"
,Competitor_Exact,B0DJT3YJQG,US,Listing_Content,Bullet,"A Must-Have Tool for Cycling and Motorcycle Enthusiasts： Equipped with a quick-mount bracket, the Z10 motorcycle camera can be easily attached to your helmet or bike handlebars. Its large button ensures effortless recording while riding and the durable waterproof casing keeps it ready for any weather"
,Competitor_Exact,B0DJT3YJQG,US,Listing_Content,Bullet,"User-Friendly Design with One-Click Recording: Simplify your experience with an intuitive one-click recording feature—no learning curve required. This action camera allows you to start recording effortlessly without searching for buttons, just focus on the ride"
,Competitor_Exact,B0DJT3YJQG,US,Listing_Content,Bullet,"Mount It Anywhere with Ease: This sports camera features a magnetic clip, and a 360° rotating back clip for clothes, and pockets. With another mounting accessory, it’s ready for bikes, helmets, motorcycles, and more. Everything you need is in the box"
,Competitor_Exact,B0DJT3YJQG,US,Listing_Content,Title,https://www.amazon.com/dp/B0DJT3YJQG/ref=mweb_up_am_fl_st_na_un_up_sm_web?th=1
,Competitor_Exact,B0DT6JKZS5,US,Listing_Content,Bullet,"Thumb Size ( 1.1""x0.7""x2.5""inch , 1.27oz): Super Compact deisgn to carry . Serveral mount style for pocket, bicycles, motorcycles, car, drone, helmet, wall or anywhere. Ensuring comfortable and hands-free using"
,Competitor_Exact,B0DT6JKZS5,US,Listing_Content,Bullet,"IPX7 Rugged & Waterproof to 100ft (30m): TO S3 Waterproof case is built to withstand extreme conditions and is fully waterproof, making it the ultimate adventure companion in any environment. Such like diving, snorkeling, surfing ..."
,Competitor_Exact,B0DT6JKZS5,US,Listing_Content,Bullet,"Extra-Large Field of View: TO 3S's powerful image sensor offers the most expansive field of view ever on a camera, perfect for capturing immersive POV footage with Magnetic Body Design ."
,Competitor_Exact,B0DT6JKZS5,US,Listing_Content,Bullet,2x Longer Runtime: Achieve up to 90 minutes (WIFI OFF) of continuous recording at 4K 2160P@30FPS with dramatically improved battery efficiency and the powerful battery.
,Competitor_Exact,B0DT6JKZS5,US,Listing_Content,Bullet,Files Transfer: ① On Phone via App with TO S3' WI-FI ; ② On phone via cable with T0 S3 ; ③ On Phone via cable with TO S3 ; ④ On Computer via card reader with SD Card
,Competitor_Exact,B0DT6JKZS5,US,Listing_Content,Title,https://www.amazon.com/dp/B0DT6JKZS5/ref=mweb_up_am_fl_st_na_un_up_sm_web?th=1
,Competitor_Exact,B0DZHF9F1J,US,Listing_Content,Bullet,"4K Resolution Capture: Capture decent detailed shots with this 4K action camera. As a practical 4K sports/POV camera, it offers steady 4K clarity, fit for daily POV footage. Equipped with a 120° wide-angle glass lens, it reduces distortion and provides a broad view, suitable for landscapes or group shots in tight spaces. Use it as a 4K body/sport camera, and clear visuals help highlight key moments.​"
,Competitor_Exact,B0DZHF9F1J,US,Listing_Content,Bullet,"64GB Storage & Long Battery: This body camera has built-in 64GB (supports up to 256GB expansion), providing enough space for hours of footage great for wearable POV/chest cameras on the go. 800mAh battery supports up to 90 mins of continuous use, making this small body camera reliable for long outings, whether vlogging with a motorcycle camera or shooting action with an action camera."
